company_name,company_sector,peer_rank,peer_name,peer_sector,similarity_score
HAVELLS,Unknown,3,LT,Unknown,0.8787
HAVELLS,Unknown,4,APOLLOHOSP,Unknown,0.8785
HAVELLS,Unknown,5,MARUTI,Unknown,0.7947
VOLTAS,Unknown,1,MARUTI,Unknown,0.973
VOLTAS,Unknown,2,MOTHERSON,Unknown,0.9455
VOLTAS,Unknown,3,LT,Unknown,0.9452
VOLTAS,Unknown,4,APOLLOTYRE,Unknown,0.9345
VOLTAS,Unknown,5,HDFCLIFE,Unknown,0.8358
TATACONSUM,Unknown,1,BAJFINANCE,Unknown,0.9982
TATACONSUM,Unknown,2,CANBK,Unknown,0.998
TATACONSUM,Unknown,3,CHOLAFIN,Unknown,0.9967
TATACONSUM,Unknown,4,CHOLAFIN,Unknown,0.9967
TATACONSUM,Unknown,5,GODREJCP,Unknown,0.9746
UPL,Unknown,1,JUBLFOOD,Unknown,0.9823
UPL,Unknown,2,INDUSINDBK,Unknown,0.9454
UPL,Unknown,3,SBILIFE,Unknown,0.9432
UPL,Unknown,4,ICICIGI,Unknown,0.9432
UPL,Unknown,5,BANDHANBNK,Unknown,0.9432
DMART,Unknown,1,HINDALCO,Unknown,0.9936
DMART,Unknown,2,TATASTEEL,Unknown,0.9688
DMART,Unknown,3,NYKAA,Unknown,0.9611
DMART,Unknown,4,ESCORTS,Unknown,0.9433
DMART,Unknown,5,MRF,Unknown,0.9334
NYKAA,Unknown,1,ESCORTS,Unknown,0.9953
NYKAA,Unknown,2,ADANIENT,Unknown,0.9864
NYKAA,Unknown,3,DMART,Unknown,0.9611
NYKAA,Unknown,4,PVRINOX,Unknown,0.954
NYKAA,Unknown,5,HINDALCO,Unknown,0.9385
PAYTM,Unknown,1,POLICYBZR,Unknown,0.9979
PAYTM,Unknown,2,HDFCLIFE,Unknown,0.9632
PAYTM,Unknown,3,APOLLOHOSP,Unknown,0.9523
PAYTM,Unknown,4,MOTHERSON,Unknown,0.8872
PAYTM,Unknown,5,MARUTI,Unknown,0.8398
POLICYBZR,Unknown,1,PAYTM,Unknown,0.9979
POLICYBZR,Unknown,2,HDFCLIFE,Unknown,0.9564
POLICYBZR,Unknown,3,APOLLOHOSP,Unknown,0.9308
POLICYBZR,Unknown,4,MOTHERSON,Unknown,0.8664
POLICYBZR,Unknown,5,ESCORTS,Unknown,0.8416
IRCTC,Unknown,1,TCS,Unknown,0.9038
IRCTC,Unknown,2,INFY,Unknown,0.8945
IRCTC,Unknown,3,PIDILITIND,Unknown,0.8621
IRCTC,Unknown,4,ITC,Unknown,0.8493
IRCTC,Unknown,5,NESTLEIND,Unknown,0.8288
INDIGO,Unknown,1,MUTHOOTFIN,Unknown,0.9849
INDIGO,Unknown,2,COLPAL,Unknown,0.9729
INDIGO,Unknown,3,TITAN,Unknown,0.919
INDIGO,Unknown,4,ASHOKLEY,Unknown,0.8649
INDIGO,Unknown,5,NESTLEIND,Unknown,0.8567
MOTHERSON,Unknown,1,MARUTI,Unknown,0.9912
MOTHERSON,Unknown,2,HDFCLIFE,Unknown,0.9685
MOTHERSON,Unknown,3,APOLLOTYRE,Unknown,0.954
MOTHERSON,Unknown,4,VOLTAS,Unknown,0.9455
MOTHERSON,Unknown,5,APOLLOHOSP,Unknown,0.9161
BOSCHLTD,Unknown,1,TECHM,Unknown,0.9747
BOSCHLTD,Unknown,2,BERGEPAINT,Unknown,0.9535
BOSCHLTD,Unknown,3,BATAINDIA,Unknown,0.9524
BOSCHLTD,Unknown,4,SBIN,Unknown,0.9419
BOSCHLTD,Unknown,5,DABUR,Unknown,0.9257
MUTHOOTFIN,Unknown,1,INDIGO,Unknown,0.9849
MUTHOOTFIN,Unknown,2,COLPAL,Unknown,0.9317
MUTHOOTFIN,Unknown,3,TITAN,Unknown,0.8734
MUTHOOTFIN,Unknown,4,ASHOKLEY,Unknown,0.8592
MUTHOOTFIN,Unknown,5,NESTLEIND,Unknown,0.7694
CHOLAFIN,Unknown,1,TATACONSUM,Unknown,0.9967
CHOLAFIN,Unknown,2,BAJFINANCE,Unknown,0.9919
CHOLAFIN,Unknown,3,CANBK,Unknown,0.9903
CHOLAFIN,Unknown,4,GODREJCP,Unknown,0.9564
CHOLAFIN,Unknown,5,UNIONBANK,Unknown,0.942
SBILIFE,Unknown,1,ICICIGI,Unknown,1.0
SBILIFE,Unknown,2,BANDHANBNK,Unknown,1.0
SBILIFE,Unknown,3,RELAXO,Unknown,1.0
SBILIFE,Unknown,4,PAGEIND,Unknown,1.0
SBILIFE,Unknown,5,ABBOTINDIA,Unknown,1.0
HDFCLIFE,Unknown,1,MOTHERSON,Unknown,0.9685
HDFCLIFE,Unknown,2,PAYTM,Unknown,0.9632
HDFCLIFE,Unknown,3,POLICYBZR,Unknown,0.9564
HDFCLIFE,Unknown,4,MARUTI,Unknown,0.9299
HDFCLIFE,Unknown,5,APOLLOHOSP,Unknown,0.9274
ICICIGI,Unknown,1,SBILIFE,Unknown,1.0
ICICIGI,Unknown,2,BANDHANBNK,Unknown,1.0
ICICIGI,Unknown,3,RELAXO,Unknown,1.0
ICICIGI,Unknown,4,PAGEIND,Unknown,1.0
ICICIGI,Unknown,5,ABBOTINDIA,Unknown,1.0
BANDHANBNK,Unknown,1,SBILIFE,Unknown,1.0
BANDHANBNK,Unknown,2,ICICIGI,Unknown,1.0
BANDHANBNK,Unknown,3,RELAXO,Unknown,1.0
BANDHANBNK,Unknown,4,PAGEIND,Unknown,1.0
BANDHANBNK,Unknown,5,ABBOTINDIA,Unknown,1.0
FEDERALBNK,Unknown,1,HDFCBANK,Unknown,0.9985
FEDERALBNK,Unknown,2,JSWSTEEL,Unknown,0.9977
FEDERALBNK,Unknown,3,IDFCFIRSTB,Unknown,0.989
FEDERALBNK,Unknown,4,BANKBARODA,Unknown,0.9823
FEDERALBNK,Unknown,5,RELIANCE,Unknown,0.9807
IDFCFIRSTB,Unknown,1,JSWSTEEL,Unknown,0.9958
